image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.mlt.CloudMLTQParserTest#testUnstoredAndUnanalyzedFieldsAreIgnored	12	0	 0	12	.04	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestExtendedDismaxParser#testEscapingOfReservedCharacters	12	0	 0	12	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.RangeFacetCloudTest#testInclude_EdgeLower	22	0	 0	2	.41	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestFunctionQuery#testTFIDFFunctions	12	0	 0	12	.03	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.distance.DistanceFunctionTest#testVector	12	0	 0	12	.44	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestDocSet#testRandomDocSets	24	0	 0	0	.64	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestRecoveryHdfs#testReplicationFactor	22	0	 0	2	.77	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncNot	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestFunctionQuery#testStrDistance	12	0	 0	12	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFilters	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testMatchAllDocsQueryXmlParser	24	0	 0	0	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testAugmenters	12	0	 0	12	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.GraphQueryTest#testGraph	22	0	 0	2	2.82	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryParsingTest#testLocalParamsWithModifiableSolrParams	24	0	 0	0	.04	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestMinMaxOnMultiValuedField#testPointFloat	12	0	 0	12	.80	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testLocalParamsWithRepeatingParam	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestXmlQParser#testTermQueryXML	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testAllRealFieldsRTG	12	0	 0	12	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestFilteredDocIdSet#testFilteredDocIdSet	24	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestRecovery#testNewDBQAndDocMatchingOldDBQDuringLogReplay	24	0	 0	0	2.15	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.SortSpecParsingTest#testBad	12	0	 0	12	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestXmlQParser#testUserQueryXML	24	0	 0	0	.03	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testWrongScoreExceptionForParent	12	0	 0	12	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testExportQuery	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.join.TestNestedDocsSort#testAbsentField	24	0	 0	0	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.RangeFacetCloudTest#testInclude_EdgeUpper	22	0	 0	2	.31	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestRecovery#testLogReplayWithReorderedDBQ	24	0	 0	0	1.64	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testFiltersCache	12	0	 0	12	.04	
