image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.TestMetaTableAccessor#testMastersSystemTimeIsUsedInUpdateLocations	2	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncSnapshotAdminApi#testCloneSnapshot[0]	2	0	 0	0	8.24	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.master.TestMetaFixer#testOneRegionTable	2	0	 0	0	1.72	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.replication.regionserver.TestReplicationSinkManager#testReportBadSink_DownToZeroSinks	2	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.wal.TestSecureWALReplay#testReplayEditsWrittenViaHRegion	2	0	 0	0	5.19	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestMobSnapshotFromClient#testDeleteTableSnapshotsWithRegex	2	0	 0	0	6.71	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestFromClientSideWithCoprocessor#testGetClosestRowBefore	2	0	 0	0	1.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestSimpleTimeRangeTracker#testSerialization	2	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestDateTieredCompactionPolicyOverflow#maxValuesForMajor	2	0	 0	0	1.43	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.wal.TestAsyncLogRollPeriod#testNoEdits	2	0	 0	0	25.64	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestSnapshotFromClientWithRegionReplicas#testListTableSnapshotsWithRegex	2	0	 0	0	5.71	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testScanner_ExplicitColumns_FromMemStoreAndFiles_EnforceVersions	2	0	 0	0	.19	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.replication.regionserver.TestReplicationSourceManagerZkImpl#testPeerRemovalCleanup	2	0	 0	0	.17	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.io.encoding.TestEncodedSeekers#testEncodedSeeker[2]	2	0	 0	0	4.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.master.normalizer.TestSimpleRegionNormalizer#testMergeOfSecondSmallestRegions	2	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testaddFamily_PostInsert	2	0	 0	0	.23	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAdmin#testCreateTableWithOnlyEmptyStartRow	2	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.master.procedure.TestMasterProcedureScheduler#testListLocksTable	2	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.quotas.TestSpaceQuotaRemoval#testSetQuotaAndThenRemoveInOneWithDisable	2	0	 0	0	23.27	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.wal.TestLogRolling#testLogRolling	2	0	 0	0	115.57	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.quotas.TestGlobalQuotaSettingsImpl#testMergeThrottle	2	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestTimestampFilterSeekHint#testGetDoesntSeekWithNoHint	2	0	 0	0	10.43	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestColumnFamilyDescriptorBuilder#testBuilder	4	0	 0	0	.12	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.ipc.TestNettyIPC#testAsyncEcho[2:	2	0	 0	0	.08	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestScannerWithBulkload#testBulkLoadNativeHFile	2	0	 0	0	5.96	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestMutation#testDeleteCopyConstructor	4	0	 0	0	.06	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.client.TestAsyncTableScan#testReversedScanAtRegionBoundary[2:	2	0	 0	0	.54	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.io.encoding.TestEncodedSeekers#testEncodedSeeker[5]	2	0	 0	0	4.32	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.wal.TestWALReplayBoundedLogWriterCreation#testSequentialEditLogSeqNum	2	0	 0	0	.24	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.TestHTableDescriptor#testAddGetRemoveConfiguration	4	0	 0	0	.00	
